First Name,Last Name,Age,Sex
Vernon,Gutoski,65,M
Beverly,Fullilove,8,Not Defined
Alicia,Baugh,47,LGBT
Michael,Newman,39,M
Ernestine,Leggett,23,F
Geneva,Mclemore,29,M
Marjorie,Beyer,30,LGBT
Laura,Pratt,49,F
Annie,Haddad,178,F
Brian,Constantine,19,F
Lena,Payne,62,F
Betty,Moore,69,M
Cynthia,Khim,49,LGBT
Kimberly,Werner,13,M
Sarah,Morris,25,LGBT
Blanche,Mcmillan,35,LGBT
Tim,Stewart,33,F
Brian,Hutcheson,192,F
Steven,Bulmer,34,F
Wayne,Fortner,125,F
Keely,Mctiernan,32,LGBT
Angie,Gutsche,68,F
Margot,Valentin,67,LGBT
Paula,Mckenzie,49,M
Stephanie,Janssen,32,M
Pete,Richards,28,M
Mary,Costa,60,LGBT
Patricia,Calais,10,LGBT
Carla,Watters,59,LGBT
Leland,Lashua,43,LGBT
James,Caricofe,56,LGBT
Elisha,Reed,30,F
Glenn,Hamamoto,35,Not Defined
Maritza,Casper,67,LGBT
August,Anderson,57,Not Defined
Gwendolyn,Patterson,18,F
Lashonda,Hodge,60,F
Diane,Hillman,83,M
Nancy,Wixon,56,F
Charles,Burgess,38,M
Lisa,Yu,34,F
Edward,Garcia,34,F
Apolonia,Bird,1,F
Billye,Banton,67,F
Elizabeth,Demark,34,LGBT
Kenneth,Deanda,17,F
Brooke,Webster,65,F
Justin,Thompson,69,M
Sharon,Wiglesworth,51,F
John,Bassford,25,F
Shirley,Pryor,73,F
Chris,Lewis,68,LGBT
Sanjuana,Bearden,74,M
Louis,Albright,44,M
Evan,Norwood,61,M
Joshua,Reed,56,LGBT
Dahlia,Ramsey,68,M
Ralph,Sanders,65,F
Samuel,Corcoran,5,M
Christopher,Dyer,17,F
Christopher,Johnson,36,Not Defined
Nathan,Rudolph,45,F
Nathan,Watson,4,F
Cody,Hill,31,Not Defined
Joey,Layfield,38,M
Louis,Allison,24,F
Marlene,Truitt,18,M
Jennifer,Frazier,46,LGBT
Terry,Brady,61,F
Margaret,Adair,51,Not Defined
Earnestine,Gordon,29,F
Marilyn,Todd,64,LGBT
Chanelle,Wert,23,M
Harley,Keitel,21,LGBT
John,Osburn,65,F
Oscar,Davis,41,LGBT
David,Hall,3,Not Defined
Brian,Wilson,58,LGBT
Eric,Boos,52,F
Jean,Jiles,65,Not Defined
Daniel,Ator,34,F
Anna,Talbert,69,LGBT
John,Mathews,27,Not Defined
Brian,Sebastian,2,M
William,Cortese,38,F
Wallace,Collins,105,LGBT
Lawrence,Gunter,46,Not Defined
Eliza,Leighton,80,M
Tammy,Janis,84,M
Shirley,George,59,Not Defined
David,Cunningham,64,M
William,Johnson,53,F
Robert,Nugent,137,LGBT
Dorothy,Monarrez,6,F
John,Johnson,65,LGBT
Janet,Cabada,48,F
Sharon,Noggler,61,Not Defined
Patricia,Cork,60,F
Vera,Wolfe,55,LGBT
Lee,Prochak,47,F
Miguel,Smith,28,F
Kevin,Jessie,180,F
Krystle,Yancy,113,M
Jean,Gutierrez,86,M
Jill,Williams,81,F
Rosetta,Solorio,32,F
Jay,Rose,35,LGBT
Ruth,Drabant,65,F
Robert,Thomas,15,F
Hector,Lambert,54,M
Abigail,Hammond,36,Not Defined
Jeffrey,Vinson,34,LGBT
Kelly,Chase,29,LGBT
Chris,Harrier,48,Not Defined
Robert,Delacruz,67,M
Katie,Dean,52,F
Diane,Jones,150,M
Paul,Gonzales,47,M
Sandra,Martinez,61,LGBT
Judith,Bailey,12,LGBT
Frederick,Hall,23,LGBT
Sherri,Robinson,146,LGBT
Leonard,White,37,M
Ronald,Rezak,33,LGBT
Mike,Jubilee,24,F
Christina,Bumgarner,53,LGBT
James,Smith,15,F
David,Farmer,45,M
Maria,French,45,F
Ashley,Marlow,168,M
Mark,Hammond,25,M
Nancy,Bullington,66,M
Jose,Cooper,61,M
Ruby,Sclafani,27,F
Carl,Roberson,68,M
Christina,Boyce,171,F
David,Willsey,66,LGBT
Stephen,Hewitt,33,F
Anthony,Antone,38,Not Defined
Amanda,Johnson,1,M
Velma,Hardiman,38,LGBT
James,Keenan,66,M
Joseph,Lapointe,25,M
Frank,Shinabarger,19,Not Defined
Thomas,Jackson,20,LGBT
Iva,Morris,67,M
Patricia,Robinson,51,LGBT
Paulette,Bradley,146,M
Brian,Sloan,65,M
Elizabeth,Underwood,68,LGBT
Elizabeth,Caneles,34,F
Mary,Wagers,18,F
Frances,Elliot,58,M
Bessie,Murphy,9,LGBT
Lucille,Cherian,34,M
Robert,Haber,31,Not Defined
Ernesto,Moore,14,LGBT
Wilbur,Mccommons,63,LGBT
Reginald,Nguyen,65,F
Evelyn,Rouse,191,LGBT
Retha,Wold,33,LGBT
Dominic,Sines,19,M
Ashley,Cooper,22,Not Defined
Roxanne,Cortez,39,F
Hector,Blakney,59,M
Teresa,Mercer,25,M
Robert,Monzo,30,M
Dianne,Roberts,165,LGBT
Harry,Briggs,19,Not Defined
Gladys,Heath,68,F
Dennis,Rauth,33,LGBT
Roy,Newman,67,F
Eddie,Finklea,54,LGBT
Jimmy,Reynolds,58,LGBT
Timothy,Neilson,69,F
Gene,Maxson,59,F
Lisa,Pecoraino,31,F
Kenneth,Selvidge,38,M
Marquerite,Murtha,71,Not Defined
David,Juneau,27,M
Vickie,Jamison,173,F
Jessica,Webb,46,F
Kathleen,Uribe,63,LGBT
Katherine,Lee,64,F
Anthony,Compton,128,LGBT
Jeannie,Nunley,19,F
Cathy,Daniel,69,LGBT
David,Brooks,40,F
Daniel,Bracy,62,Not Defined
Wilfred,Denby,41,M
Orlando,Wiglesworth,64,M
Daniel,Fossett,46,F
Mary,Geraldo,52,LGBT
Roy,Shifflett,68,F
Regina,Tobin,40,F
Carlos,Foster,25,Not Defined
Andrea,Jackson,48,LGBT
Jacqueline,Twigg,59,LGBT
Martin,Imel,35,M
Enrique,Curry,197,F
William,Reyes,35,M
Sharon,Sellers,2,M
Felix,Calhoun,69,Not Defined
Concepcion,Rodriguez,58,F
Linda,Broadwell,62,LGBT
Timothy,Cruse,41,LGBT
Dianna,Wingo,54,F
Gary,Robinson,27,LGBT
Annie,Lacoss,20,LGBT
Minnie,Burns,53,M
Wade,Cady,64,LGBT
Carolyn,Counterman,51,LGBT
Tami,Bateman,22,LGBT
David,Earnest,122,M
Jesus,Schnee,48,F
Crystal,Bowen,37,M
Sarah,Loveless,31,F
Anthony,Luckett,20,M
Mary,Wheeler,43,M
Traci,Stupak,49,LGBT
William,Merrithew,17,F
Rochelle,Snyder,15,F
Frank,Harper,63,M
Elba,Whaley,32,M
Barbara,Vieira,39,F
Mamie,Cousins,6,M
Doreen,King,50,M
Benjamin,Randle,23,F
Nathan,Morris,69,F
Nathan,Williams,69,LGBT
Mildred,Donnerberg,58,M
Rose,Neiman,68,LGBT
George,Chavous,55,Not Defined
Natalie,Whitehead,37,LGBT
Todd,Connelly,59,F
Donald,Vara,70,F
Rudolph,Hollendonner,62,F
Laura,Freeman,44,M
Victor,Johnston,41,F
Michele,Campbell,47,F
Mattie,Knowles,9,M
Jennifer,Hathcock,37,F
Rosemary,Turcotte,28,M
Melissa,Jones,27,LGBT
Jerry,Crockett,47,F
Wilbur,Ellis,35,LGBT
Darrell,Freeman,50,F
Yuko,Randazzo,53,Not Defined
Gene,Fix,60,LGBT
Hazel,Morris,50,LGBT
Randi,Hapke,36,LGBT
Tony,Ramos,4,LGBT
Jacob,Richardson,17,LGBT
Rickie,Wilson,34,F
Thomas,Verdugo,35,M
Maria,Wallace,36,LGBT
David,Ryan,63,M
Margaret,Cutter,42,LGBT
Gaylene,Harris,63,F
Robert,Kleven,40,M
Marlana,White,52,LGBT
Stephen,Klein,3,LGBT
Natalia,Pedlow,4,F
Shirley,Scott,33,M
Ruth,Hug,62,M
Joanna,Louis,48,F
Kelly,Vallot,186,F
Thomas,Antonio,37,F
Shawn,Ellis,49,Not Defined
Patricia,Volker,26,LGBT
Veronica,Hines,41,LGBT
Janice,Castaneda,15,LGBT
Judy,Aadland,55,Not Defined
John,Natoli,7,LGBT
Vincent,Newell,44,LGBT
Michelle,White,42,F
Robert,Williams,32,Not Defined
Kathleen,Jones,65,LGBT
Karina,Hernandes,38,Not Defined
Joseph,Ferrell,62,Not Defined
Edna,Melendez,11,Not Defined
Helen,Jones,192,F
Michael,Brennan,52,F
Wendi,Wright,105,Not Defined
Everett,Shelton,190,LGBT
Hazel,Olson,40,F
James,Baisley,23,F
Lisa,Rances,18,M
Luz,Martin,55,M
Jo,Blevins,42,F
Donna,Jack,51,LGBT
Bobby,Wetherbee,45,Not Defined
Steven,Selvidge,16,F
Ronald,Harper,40,Not Defined
Greg,Hufford,22,F
Mary,Crews,76,M
Joseph,Corley,34,LGBT
Allen,Okeefe,51,Not Defined
Stacie,Yeager,44,Not Defined
Bobbi,Robbins,61,F
Maria,Walker,15,LGBT
Marni,Pritchett,55,M
Gregory,Miland,10,LGBT
Clarence,Ferguson,127,M
Ned,Koenig,190,LGBT
Susan,Macias,18,F
Pat,Keegan,34,M
Brian,Clark,33,LGBT
Donna,Klinkhammer,33,F
Elizabeth,Murgia,46,LGBT
Carol,Strauss,37,M
Earl,Reber,33,LGBT
Phyllis,Schultz,108,LGBT
Scott,Koran,64,M
Charles,Shaw,48,F
William,Few,51,LGBT
Scott,Leveille,33,F
Clyde,Mcmanus,1,M
Elizabeth,Christian,61,Not Defined
Melanie,Gelston,44,LGBT
Mary,Brown,27,M
William,Waddell,67,F
Ryan,Chung,25,F
Michael,Diaz,26,Not Defined
Alfredo,Heiman,48,F
Alvaro,Mudd,26,F
Andrea,Ramos,24,LGBT
Karen,Millwee,15,LGBT
Andrew,Davidson,57,F
Gerald,Farley,32,F
Barbara,Houlihan,27,M
Annette,Coleman,161,M
Richard,Damore,64,LGBT
Kaci,Wallace,22,F
Teresa,Rodriquez,83,F
Joyce,Bidwell,21,LGBT
Elsie,Keitt,54,M
Leana,Atherton,51,F
Amanda,Coleman,69,Not Defined
Alice,Martinez,63,M
Robert,Grant,62,M
Gregory,Leonard,70,F
Vernon,Bartsch,160,LGBT
Susan,Shaw,44,M
Robert,Lemmo,42,Not Defined
Benjamin,Bryan,18,LGBT
Jared,Klare,34,F
Willie,Tyler,82,LGBT
Jean,Miller,29,Not Defined
Eugene,Williams,44,F
Olen,Worley,154,M
Elton,Thompson,171,M
Sarah,Smallwood,4,LGBT
Carlos,Ortiz,26,LGBT
Fairy,Snyder,46,F
Deborah,Caulder,70,Not Defined
Jessica,Walden,21,M
Robert,Chidester,65,F
Evelyn,Sykes,52,LGBT
Patricia,Walls,53,M
James,Nielson,39,M
Tim,Harrison,97,M
Ruth,Head,36,F
Cindy,Daniel,8,M
Sandra,Godwin,16,F
Jimmy,Gillard,35,LGBT
Sylvester,Dennis,17,F
Steve,Sandow,146,LGBT
Andrea,Lewis,45,Not Defined
Maria,Lamison,29,LGBT
Kenneth,Davis,51,LGBT
Kimberly,Abbe,49,M
Casey,Jackson,42,LGBT
Sylvester,Ballentine,19,M
Christine,Kliebert,36,F
Roy,Leatherman,26,F
Boyd,Dietrich,54,F
Joan,Foster,53,M
Cecil,Ormond,48,F
Elizabeth,Simpson,41,F
William,Madrigal,163,F
Julie,Eaton,70,F
Sebastian,Golka,7,M
Kathleen,Ramsey,42,M
Laura,Hartage,57,F
Jose,Beckett,40,LGBT
Lowell,Johnson,38,Not Defined
Ida,Moreland,21,M
Charles,Long,31,F
Anne,Whitfield,22,LGBT
Eufemia,Butler,45,LGBT
Paulette,Watson,8,F
Janet,Williams,35,F
Janice,Tarlton,61,LGBT
Matthew,Aaron,67,Not Defined
Ray,Kruse,140,Not Defined
Byron,Andrade,46,F
Rene,Hendrix,56,LGBT
Marie,Fred,67,LGBT
Rodney,Weinberg,49,LGBT
Burl,Bivens,59,M
Tamara,Fountain,161,M
John,Sanville,43,LGBT
Lester,Wells,50,M
Sandra,Stauffer,8,M
Russell,Gunderman,69,F
John,Fraser,51,F
Brad,Hodges,35,Not Defined
Craig,Schneidtmille,35,M
